item,reading,description,example,level,sort,tag,category
"他人","たにん","Người không có quan hệ","","N2","11",",trainghia3,lesson5,",""
"本人","ほんにん","Anh ta, cô ta, bà ta","","N2","12",",trainghia3,lesson5,",""
"多分","たぶん","Nhiều phần","","N2","13",",trainghia3,lesson5,",""
"確実・絶対","かくじつ・ぜったい","Chính xác, chắc chắn, tuyệt đối","","N2","14",",trainghia3,lesson5,",""
"黙る","だまる","Im lặng, lặng thinh","","N2","15",",trainghia3,lesson5,",""
"反論する","はんろんする","Phản luận, phản bác","","N2","16",",trainghia3,lesson5,",""
"試す","ためす","Thử, thử nghiệm","","N2","17",",trainghia3,lesson5,",""
"展開する","てんかいする","Triển khai","","N2","18",",trainghia3,lesson5,",""
"頼る","たよる","Nhờ cậy","","N2","19",",trainghia3,lesson5,",""
"自立する","じりつする","tự lập, tạo nghiệp","","N2","20",",trainghia3,lesson5,",""
"短期","たんき","Thời gian ngắ","","N2","1",",trainghia3,lesson6,",""
"長期","ちょうき","Thời gian dài","","N2","2",",trainghia3,lesson6,",""
"単語","たんご","từ vựng","","N2","3",",trainghia3,lesson6,",""
"文書","ぶんしょ","văn kiện, giấy tờ, đoạn văn","","N2","4",",trainghia3,lesson6,",""
"男子","だんし","con trai, mày râu, nam thanh niên","","N2","5",",trainghia3,lesson6,",""
"女子","じょし","con gái, cô gái, thiếu nữ, nữ nhi","","N2","6",",trainghia3,lesson6,",""
"短所","たんしょ","sở đoản, điểm yếu, nhược điểm","","N2","7",",trainghia3,lesson6,",""
"長所","ちょうしょ","sở trường, điểm mạnh","","N2","8",",trainghia3,lesson6,",""
"単数","たんすう","số đơn, số ít","","N2","9",",trainghia3,lesson6,",""
"複数","ふくすう","số phức, số nhiều","","N2","10",",trainghia3,lesson6,",""
"団体","だんたい","đoàn thể, tập thể","","N2","11",",trainghia3,lesson6,",""
"個人","こじん","cá nhân, cá thể, mang tính tư nhân","","N2","12",",trainghia3,lesson6,",""
"断定","だんてい","sự kết luận","","N2","13",",trainghia3,lesson6,",""
"推測・判断","すいそく・はんだん","sự đoán, sự phỏng đoán, sự ước đoán","","N2","14",",trainghia3,lesson6,",""
"地下","ちか","dưới đất","","N2","15",",trainghia3,lesson6,",""
"上空","じょうくう","trên trời","","N2","16",",trainghia3,lesson6,",""
"近づける・近寄る","ちかづける・ちかよる","tiếp cận, tới gần, ngao du","","N2","17",",trainghia3,lesson6,",""
"離れる","はなれる","cách, chia ly, rời xa, tuột khỏi, thoát ly, từ giã","","N2","18",",trainghia3,lesson6,",""
"地球","ちきゅう","quả đất, trái đất, địa cầu","","N2","19",",trainghia3,lesson6,",""
"宇宙","うちゅう","vòm trời, vũ trụ","","N2","20",",trainghia3,lesson6,",""
"遅刻","ちこく","sự muộn, sự đến muộn","","N2","1",",trainghia3,lesson7,",""
"間に合う・時間通り","あいだにあう・じかんどおり","kịp thời, vừa đủ, theo đủ","","N2","2",",trainghia3,lesson7,",""
"父親","ちちおや","bố, cha, gia phụ, gia thân, thân phụ","","N2","3",",trainghia3,lesson7,",""
"子供","こども","trẻ con, con cái, trẻ nhỏ","","N2","4",",trainghia3,lesson7,",""
"地域・地帯・地方","ちいき・ちたい・ちほう","cõi, khu vực, vành đai, vùng","","N2","5",",trainghia3,lesson7,",""
"全国","ぜんこく","khắp nước, toàn quốc","","N2","6",",trainghia3,lesson7,",""
"縮める・縮れる","ちぢめる・ちぢれる","thu gọn, nén lại","","N2","7",",trainghia3,lesson7,",""
"膨らむ","ふくらむ","làm bành trướng, làm to lên, làm phình ra","","N2","8",",trainghia3,lesson7,",""
"中","なか","bên trong, giữa, trong, trong khi, ở trong","","N2","9",",trainghia3,lesson7,",""
"外","そと","bên ngoài, phía ngoài, ngoài, ở ngoài","","N2","10",",trainghia3,lesson7,",""
"中央・中心","ちゅうおう・ちゅうしん","trung ương, trung tâm","","N2","11",",trainghia3,lesson7,",""
"末端","まったん","đầu, cuối, đỉnh, chóp, đầu mút","","N2","12",",trainghia3,lesson7,",""
"中学","ちゅうがく","trung học","","N2","13",",trainghia3,lesson7,",""
"小学","しょうがく","tiểu học","","N2","14",",trainghia3,lesson7,",""
"中間","ちゅうかん","trung gian, giữa","","N2","15",",trainghia3,lesson7,",""
"直接","ちょくせつ","trực tiếp","","N2","16",",trainghia3,lesson7,",""
"中古","ちゅうこ","trung cổ, đồ cổ, đồ second hand","","N2","17",",trainghia3,lesson7,",""
"新品","しんぴん","đồ mới","","N2","18",",trainghia3,lesson7,",""
"中止","ちゅうし","sự cấm, sự ngừng","","N2","19",",trainghia3,lesson7,",""
"継続","けいぞく","kế tục, sự tiếp tục, tiếp tục, sự liên tục","","N2","20",",trainghia3,lesson7,",""
"駐車","ちゅうしゃ","sự đỗ xe","","N2","1",",trainghia3,lesson8,",""
"発車","はっしゃ","xe khởi hành","","N2","2",",trainghia3,lesson8,",""
"中旬","ちゅうじゅん","trung tuần","","N2","3",",trainghia3,lesson8,",""
"下旬","げじゅん","thượng tuần","","N2","4",",trainghia3,lesson8,",""
"抽象","ちゅうしょう","sự trừu tượng","","N2","5",",trainghia3,lesson8,",""
"具体","ぐたい","sự cụ thể","","N2","6",",trainghia3,lesson8,",""
"昼食","ちゅうしょく","bữa ăn trưa","","N2","7",",trainghia3,lesson8,",""
"夕食","ゆうしょく","bữa chiều, bữa tối, cơm chiều, cơm tối","","N2","8",",trainghia3,lesson8,",""
"中性","ちゅうせい","trung tính, notron","","N2","9",",trainghia3,lesson8,",""
"特性","とくせい","đặc trưng, đặc tính","","N2","10",",trainghia3,lesson8,",""
"中途","ちゅうと","giữa chừng","","N2","11",",trainghia3,lesson8,",""
"最後","さいご","bét, chót, cuối cùng","","N2","12",",trainghia3,lesson8,",""
"中年","ちゅうねん","trung niên","","N2","13",",trainghia3,lesson8,",""
"少年","しょうねん","thiếu niên","","N2","14",",trainghia3,lesson8,",""
"注目","ちゅうもく","sự chú ý","","N2","15",",trainghia3,lesson8,",""
"無視","むし","sự xem thường, sự phớt lờ","","N2","16",",trainghia3,lesson8,",""
"注文","ちゅうもん","sự đặt hàng; đơn đặt hàng; việc gọi món (ở nhà hàng)","","N2","17",",trainghia3,lesson8,",""
"自作","じさく","","","N2","18",",trainghia3,lesson8,",""
"超過","ちょうか","sự vượt quá","","N2","19",",trainghia3,lesson8,",""
"標準・規定","ひょうじゅん・きてい","hạn mức, tiêu chuẩn","","N2","20",",trainghia3,lesson8,",""
"長女","ちょうじょ","chị hai, con gái lớn; trưởng nữ","","N2","1",",trainghia3,lesson9,",""
"長男・長女","ちょうなん・ちょうじょ","cậu cả ,  con cả ,trưởng nam","","N2","2",",trainghia3,lesson9,",""
"調整・調節","ちょうせい・ちょうせつ","điều chỉnh,sự điều chỉnh","","N2","3",",trainghia3,lesson9,",""
"規定","きてい","điều luật , qui chế ,  qui định , qui ước ","","N2","4",",trainghia3,lesson9,",""
"頂点","ちょうてん","đỉnh cao","","N2","5",",trainghia3,lesson9,",""
"底","そこ","đáy, đế, đít","","N2","6",",trainghia3,lesson9,",""
"貯金","ちょきん"," tiền gửi ngân hàng,tiền tiết kiệm gửi ngân hàng","","N2","7",",trainghia3,lesson9,",""
"投資金","とうしきん","tiền đầu tư","","N2","8",",trainghia3,lesson9,",""
"直後","ちょくご","ngay sau khi","","N2","9",",trainghia3,lesson9,",""
"直前","ちょくぜん","ngay trước khi","","N2","10",",trainghia3,lesson9,",""
"直通","ちょくつう","liên vận, sự đi thẳng; sự liên lạc thẳng đến","","N2","11",",trainghia3,lesson9,",""
"乗り換え","のりかえ"," việc đổi xe; sự đổi xe","","N2","12",",trainghia3,lesson9,",""
"散らかす・散らす","ちらかす・ちらす","làm vương vãi; vứt lung tung/làm bay tơi tả; làm rụng tơi bời,vứt lung tung; bố trí rải rác","","N2","13",",trainghia3,lesson9,",""
"集める・拾う・片付ける","あつめる・ひろう・かたづける","chụm lại một chỗ; tập trung lại một chỗ; triệu tập; chăm chú; thu thập; thu hút","","N2","14",",trainghia3,lesson9,",""
"追加","ついか","sự thêm vào","","N2","15",",trainghia3,lesson9,",""
"減少","げんしょう","sự giảm; suy giảm; giảm bớt; giảm","","N2","16",",trainghia3,lesson9,",""
"通学","つうがく","sự đi học","","N2","17",",trainghia3,lesson9,",""
"退学・登校拒否","たいがく・とうこうきょひ","sự bỏ học, Sự trốn học","","N2","18",",trainghia3,lesson9,",""
"通勤","つうきん","sự đi làm","","N2","19",",trainghia3,lesson9,",""
"欠勤・無職","けっきん・むしょく","sự không có việc làm","","N2","20",",trainghia3,lesson9,",""
"通信・通知","つうしん・つうち","hãng thông tấn, truyền thông; thông tin","","N2","1",",trainghia3,lesson10,",""
"連絡なし","れんらくなし","sự liên lạc; sự trao đổi thông tin","","N2","2",",trainghia3,lesson10,",""
"通訳","つうやく","người phiên dịch; thông dịch viên; phiên dịch viên","","N2","3",",trainghia3,lesson10,",""
"翻訳","ほんやく","sự dịch; sự giải mã","","N2","4",",trainghia3,lesson10,",""
"付き合う・交流","つきあう・こうりゅう","kết hợp; giao tiếp; liên kết","","N2","5",",trainghia3,lesson10,",""
"絶交","ぜっこう","sự tuyệt giao; tuyệt giao; chấm dứt quan hệ","","N2","6",",trainghia3,lesson10,",""
"突き当たり","つきあたり","cuối (phố)","","N2","7",",trainghia3,lesson10,",""
"街頭","がいとう","trên phố","","N2","8",",trainghia3,lesson10,",""
"突く・挿す・刺す・突っ込む","つく・さす・さす・とつっこむ","chống, đâm; chọc, thở ra; tuôn ra/đính thêm; gắn vào; đeo dây lưng; cắm/cắn (muỗi); hút (máu); chích/cắm vào; cho vào; thọc vào, đi sâu; đi sâu điều tra; nghiên cứu sâu","","N2","9",",trainghia3,lesson10,",""
"引く","ひく","kéo; rút; bị (cảm); tra,trừ, uốn cong","","N2","10",",trainghia3,lesson10,",""
"作る・造る","つくる・つくる","chế biến, làm; tạo; sáng tác; xây dựng/cắt tỉa (cây), chế biến","","N2","11",",trainghia3,lesson10,",""
"使う・壊す","つかう・こわす","sử dụng; dùng/phá huỷ; phá hoại; phá bỏ; làm hỏng","","N2","12",",trainghia3,lesson10,",""
"着ける","つける","mặc; đeo","","N2","13",",trainghia3,lesson10,",""
"外す・抜く","はずす・ぬく","sai lệch; không đúng/công phá; đoạt lấy, lược bớt; giảm bớt; bỏ bớt","","N2","14",",trainghia3,lesson10,",""
"浸ける","つける","ngâm, thấm nước, nhúng nước, ","","N2","15",",trainghia3,lesson10,",""
"固まる","かたまる","đông lại; cứng lại; đông cứng lại; đóng tảng; bết; vón cục; đóng thành cục; đông kết","","N2","16",",trainghia3,lesson10,",""
"常に","つねに","thường thường; luôn","","N2","17",",trainghia3,lesson10,",""
"時々","ときどき","có lúc; thỉnh thoảng","","N2","18",",trainghia3,lesson10,",""
"潰す","つぶす","giết (thời gian), làm mất (giọng), làm mất thể diện, nghiền; làm bẹp","","N2","19",",trainghia3,lesson10,",""
"吹く","ふく","dậy mùi, hắt hiu, phát ra; bốc ra; tỏa ra, thổi (gió)","","N2","20",",trainghia3,lesson10,",""
"罪","つみ","tội lỗi","","N2","1",",trainghia3,lesson11,",""
"冤罪","えんざい","oan ức","","N2","2",",trainghia3,lesson11,",""
"積もる","つもる","chất đống","","N2","3",",trainghia3,lesson11,",""
"下ろす","おろす","hạ xuống, mang xuống","","N2","4",",trainghia3,lesson11,",""
"辛い","つらい","đắng ,đau khổ","","N2","5",",trainghia3,lesson11,",""
"楽・甘い","らく・あまい","thoải mái, dễ chịu/ngọt","","N2","6",",trainghia3,lesson11,",""
"吊る・吊るす","つる・つるす","treo","","N2","7",",trainghia3,lesson11,",""
"下ろす","おろす","hạ xuống, mang xuống","","N2","8",",trainghia3,lesson11,",""
"連れる","つれる","dẫn, dắt","","N2","9",",trainghia3,lesson11,",""
"置いていく","おいていく","đặt xuống","","N2","10",",trainghia3,lesson11,",""
"提案","ていあん","đề xuất","","N2","11",",trainghia3,lesson11,",""
"実行・展開・適用","じっこう・てんかい・てきよう","thực hiện/ triển khai/ ứng dụng","","N2","12",",trainghia3,lesson11,",""
"定員","ていいん","sức chứa","","N2","13",",trainghia3,lesson11,",""
"定員オーバー","ていいんオーバー","hết chỗ chứa","","N2","14",",trainghia3,lesson11,",""
"定価","ていか","giá cố định","","N2","15",",trainghia3,lesson11,",""
"特売・相談値段","とくばい・そうだんねだん","giá đặc biệt/giá theo thõa thuận","","N2","16",",trainghia3,lesson11,",""
"低下","ていか","sự suy giảm","","N2","17",",trainghia3,lesson11,",""
"上昇・増加","じょうしょう・ぞうか","sự tiến lên/sự gia tăng, thêm vào","","N2","18",",trainghia3,lesson11,",""
"定休日","ていきゅうび","ngày nghỉ thường kì theo quy định","","N2","19",",trainghia3,lesson11,",""
"営業日","えいぎょうび","ngày kinh doanh, ngày làm việc","","N2","20",",trainghia3,lesson11,",""
"抵抗","ていこう","sự đề kháng, kháng cự","","N2","1",",trainghia3,lesson12,",""
"無抵抗","むていこう","không đề kháng, không kháng cự","","N2","2",",trainghia3,lesson12,",""
"停止","ていし","sự đình chỉ,  dừng lại","","N2","3",",trainghia3,lesson12,",""
"再生・稼働","さいせい・かどう","sự tái sinh, sống lại/hoạt động","","N2","4",",trainghia3,lesson12,",""
"提出","ていしゅつ","sự nộp","","N2","5",",trainghia3,lesson12,",""
"未提出","みていしゅつ","chưa cần nộp","","N2","6",",trainghia3,lesson12,",""
"停電","ていでん","sự mất điện, cúp điện","","N2","7",",trainghia3,lesson12,",""
"発電","はつでん","sự phát điện","","N2","8",",trainghia3,lesson12,",""
"出入口","しゅつにゅうぐち","cửa ra vào","","N2","9",",trainghia3,lesson12,",""
"出口・入口","でぐち・いりぐち","cửa ra/cửa vào","","N2","10",",trainghia3,lesson12,",""
"出かける","でかける","đi ra ngoài","","N2","11",",trainghia3,lesson12,",""
"留守する","るすする","đi vắng, sự vắng nhà","","N2","12",",trainghia3,lesson12,",""
"敵","てき","kẻ thù","","N2","13",",trainghia3,lesson12,",""
"味方・友達","みかた・ともだち","đồng minh/ bạn bè","","N2","14",",trainghia3,lesson12,",""
"的確","てきかく","rõ ràng, chính xác","","N2","15",",trainghia3,lesson12,",""
"曖昧","あいまい","mơ hồ","","N2","16",",trainghia3,lesson12,",""
"適度","てきど","mức độ thích hợp","","N2","17",",trainghia3,lesson12,",""
"過度","かど","quá mức","","N2","18",",trainghia3,lesson12,",""
"適用","てきよう","sự ứng dụng","","N2","19",",trainghia3,lesson12,",""
"不適用","ふてきよう","không ứng dụng","","N2","20",",trainghia3,lesson12,",""
"手頃","てごろ","vừa phải, tiện dụng","","N2","1",",trainghia3,lesson13,",""
"手が届かない","てがとどかない","ngoài tầm với","","N2","2",",trainghia3,lesson13,",""
"手伝い","てつだい","sự giúp đỡ","","N2","3",",trainghia3,lesson13,",""
"任せる","まかせる","dốc lòng, phó thác","","N2","4",",trainghia3,lesson13,",""
"徹底","てってい","triệt để","","N2","5",",trainghia3,lesson13,",""
"中途半端","ちゅうとはんぱ","chưa hoàn thành","","N2","6",",trainghia3,lesson13,",""
"徹夜","てつや","thức suốt đêm","","N2","7",",trainghia3,lesson13,",""
"睡眠","すいみん","việc ngủ, giấc ngủ","","N2","8",",trainghia3,lesson13,",""
"典型","てんけい","khuôn mẫu, điển hình","","N2","9",",trainghia3,lesson13,",""
"例外","れいがい","ngoại lệ","","N2","10",",trainghia3,lesson13,",""
"伝染","でんせん","sự truyền nhiễm, lan truyền","","N2","11",",trainghia3,lesson13,",""
"免疫","めんえき","sự miễn dịch","","N2","12",",trainghia3,lesson13,",""
"伝統","でんとう","truyền thống","","N2","13",",trainghia3,lesson13,",""
"現代","げんだい","hiện đại","","N2","14",",trainghia3,lesson13,",""
"天然","てんねん","thiên nhiên","","N2","15",",trainghia3,lesson13,",""
"人工","じんこう","nhân tạo","","N2","16",",trainghia3,lesson13,",""
"答案","とうあん","giấy ghi câu trả lời","","N2","17",",trainghia3,lesson13,",""
"設問","せつもん","câu hỏi","","N2","18",",trainghia3,lesson13,",""
"統一","とういつ","sự thống nhất","","N2","19",",trainghia3,lesson13,",""
"分割・分離","ぶんかつ・ぶんり","sự phân chia/ phân ly","","N2","20",",trainghia3,lesson13,",""
"同一","どういつ","đồng nhất","","N2","1",",trainghia3,lesson14,",""
"不同一・差別","ふどういつ・さべつ","không đồng nhất/sự phân biệt","","N2","2",",trainghia3,lesson14,",""
"当時","とうじ","thời ấy","","N2","3",",trainghia3,lesson14,",""
"現在","げんざい","hiện tại","","N2","4",",trainghia3,lesson14,",""
"当日","とうじつ","ngày hôm đó, ngày ấy","","N2","5",",trainghia3,lesson14,",""
"今日","きょう","hôm nay","","N2","6",",trainghia3,lesson14,",""
"登場","とうじょう","lối vào","","N2","7",",trainghia3,lesson14,",""
"絶滅","ぜつめつ","tiêu hủy, tuyệt chủng","","N2","8",",trainghia3,lesson14,",""
"到着","とうちゃく","sự đến nơi","","N2","9",",trainghia3,lesson14,",""
"途中","とちゅう","nửa chừng","","N2","10",",trainghia3,lesson14,",""
"透明","とうめい","sự trong suốt","","N2","11",",trainghia3,lesson14,",""
"不透明","ふとうめい","không trong suốt","","N2","12",",trainghia3,lesson14,",""
"東洋","とうよう","phương Đông","","N2","13",",trainghia3,lesson14,",""
"西洋","せいよう","phương Tây","","N2","14",",trainghia3,lesson14,",""
"同僚","どうりょう","đồng nghiệp","","N2","15",",trainghia3,lesson14,",""
"顧客","こきゃく","khách hàng","","N2","16",",trainghia3,lesson14,",""
"都会","とかい","thành phố","","N2","17",",trainghia3,lesson14,",""
"田舎","いなか","quê","","N2","18",",trainghia3,lesson14,",""
"得意","とくい","điểm mạnh đắc ý","","N2","19",",trainghia3,lesson14,",""
"苦手","にがて","điểm yếu","","N2","20",",trainghia3,lesson14,",""
"独身","どくしん","độc thân","","N2","1",",trainghia3,lesson15,",""
"結婚","けっこん","kết hôn","","N2","2",",trainghia3,lesson15,",""
"特定","とくてい","sự chỉ định trước","","N2","3",",trainghia3,lesson15,",""
"不特定","ふとくてい","không chỉ định trước","","N2","4",",trainghia3,lesson15,",""
"独特","どくとく","độc đáo","","N2","5",",trainghia3,lesson15,",""
"一般","いっぱん","thông thường","","N2","6",",trainghia3,lesson15,",""
"突然","とつぜん","đột nhiên","","N2","7",",trainghia3,lesson15,",""
"定期","ていき","định kì","","N2","8",",trainghia3,lesson15,",""
"整う","ととのう","được sắp đặt, chuẩn bị","","N2","9",",trainghia3,lesson15,",""
"散らす・欠ける","ちらす・かける","vứt lung tung, thiếu","","N2","10",",trainghia3,lesson15,",""
"努力","どりょく","sự nỗ lực","","N2","11",",trainghia3,lesson15,",""
"怠惰・頼り","たいだ・たより","lười biếng/sự phụ thuộc","","N2","12",",trainghia3,lesson15,",""
"内科","ないか","khoa nội","","N2","13",",trainghia3,lesson15,",""
"外科","げか","khoa ngoại","","N2","14",",trainghia3,lesson15,",""
"内線","ないせん","nội tuyến","","N2","15",",trainghia3,lesson15,",""
"外線","がいせん","ngoại tuyến","","N2","16",",trainghia3,lesson15,",""
"治す","なおす","chữa bệnh","","N2","17",",trainghia3,lesson15,",""
"病む","やむ","bệnh","","N2","18",",trainghia3,lesson15,",""
"流す","ながす","chảy","","N2","19",",trainghia3,lesson15,",""
"留まる","とまる","dừng lại, lưu lại","","N2","20",",trainghia3,lesson15,",""
"仲直り","なかなおり","sự hòa giải","","N2","1",",trainghia3,lesson16,",""
"喧嘩","けんか","sự cãi nhau, đánh nhau","","N2","2",",trainghia3,lesson16,",""
"半ば","なかば","giữa, nửa chừng","","N2","3",",trainghia3,lesson16,",""
"終了","しゅうりょう","kết thúc","","N2","4",",trainghia3,lesson16,",""
"長引き","ながびき","lâu, tốn thời gian","","N2","5",",trainghia3,lesson16,",""
"あっという間に","あっというあいだに","loáng một cái; trong nháy mắt","","N2","6",",trainghia3,lesson16,",""
"中身","なかみ","Nội dung bên trong","","N2","7",",trainghia3,lesson16,",""
"外見","がいけん","Vẻ bề ngoài","","N2","8",",trainghia3,lesson16,",""
"仲良し","なかよし","bạn tốt","","N2","9",",trainghia3,lesson16,",""
"仲悪い","なかわるい","bạn xấu","","N2","10",",trainghia3,lesson16,",""
"慰める","なぐさめる","an ủi, động viên","","N2","11",",trainghia3,lesson16,",""
"叱る","しかる","mắng","","N2","12",",trainghia3,lesson16,",""
"謎謎","なぞなぞ","mập mờ, bí ẩn","","N2","13",",trainghia3,lesson16,",""
"明瞭・明白","めいりょう・めいはく","rõ ràng, sáng sủa","","N2","14",",trainghia3,lesson16,",""
"納得","なっとく","đồng ý","","N2","15",",trainghia3,lesson16,",""
"反対・講義・異議","はんたい・こうぎ・いぎ","phản đối","","N2","16",",trainghia3,lesson16,",""
"生意気","なまいき","kiêu căng, tinh vi","","N2","17",",trainghia3,lesson16,",""
"謙遜・礼儀正しい","けんそん・れいぎただしい","khiêm tốn","","N2","18",",trainghia3,lesson16,",""
"悩む","なやむ","Lo lắng, buồn phiển","","N2","19",",trainghia3,lesson16,",""
"安心する・ほっとする","あんしんする・ほっとする","an tâm","","N2","20",",trainghia3,lesson16,",""
"倣う","ならう","Mô phỏng, phỏng theo","","N2","1",",trainghia3,lesson17,",""
"発想する・創造する","はっそうする・そうぞうする","sáng tạo, tạo mới","","N2","2",",trainghia3,lesson17,",""
"憎む","にくむ","ghét, căm thù","","N2","3",",trainghia3,lesson17,",""
"恋する・愛する","こいする・あいする","yêu","","N2","4",",trainghia3,lesson17,",""
"濁る","にごる","Đục","","N2","5",",trainghia3,lesson17,",""
"透き通る","すきとおる","Trong suốt, trong vắt","","N2","6",",trainghia3,lesson17,",""
"日常","にちじょう","Thường ngày","","N2","7",",trainghia3,lesson17,",""
"非日常","ひにちじょう","Bất thường","","N2","8",",trainghia3,lesson17,",""
"鈍い","にぶい","Cùn, chậm chạp","","N2","9",",trainghia3,lesson17,",""
"鋭い","するどい","sắc, nhạy bén","","N2","10",",trainghia3,lesson17,",""
"入院","にゅういん","Nhập viện","","N2","11",",trainghia3,lesson17,",""
"退院","たいいん","xuất viện","","N2","12",",trainghia3,lesson17,",""
"入学","にゅうがく","nhập học","","N2","13",",trainghia3,lesson17,",""
"退学・中退","たいがく・ちゅうたい","Bỏ học","","N2","14",",trainghia3,lesson17,",""
"入社","にゅうしゃ","vào công ty","","N2","15",",trainghia3,lesson17,",""
"退社・辞職","たいしゃ・じしょく","từ chức, thôi làm","","N2","16",",trainghia3,lesson17,",""
"女房","にょうぼう","vợ","","N2","17",",trainghia3,lesson17,",""
"旦那","だんな","chồng, ông xã","","N2","18",",trainghia3,lesson17,",""
"睨む","にらむ","lườm","","N2","19",",trainghia3,lesson17,",""
"感謝・恩返し","かんしゃ・おんがえし","Cảm tạ, biết ơn","","N2","20",",trainghia3,lesson17,",""
"人気","にんき","sự được đông đảo người yêu thích; sự được hâm mộ","","N2","1",",trainghia3,lesson18,",""
"不人気・無視","ふにんき・むし","Không được yêu thích","","N2","2",",trainghia3,lesson18,",""
"人間","にんげん","Con người","","N2","3",",trainghia3,lesson18,",""
"神・仏","かみ・ふつ","chúa, phật, bụt","","N2","4",",trainghia3,lesson18,",""
"縫う","ぬう","Khâu vá","","N2","5",",trainghia3,lesson18,",""
"裂く・破る","さく・やぶる","xé, làm rách","","N2","6",",trainghia3,lesson18,",""
"抜く・抜ける","ぬく・ぬける","nhổ ra, rơi rụng, rút lui","","N2","7",",trainghia3,lesson18,",""
"差し込む・刺す","さしこむ・さす","đút vào, chèn vào","","N2","8",",trainghia3,lesson18,",""
"濡らす・濡れる","ぬらす・ぬれる","làm ướt, bị ướt","","N2","9",",trainghia3,lesson18,",""
"干す","ほす","Làm khô","","N2","10",",trainghia3,lesson18,",""
"根","ね","rễ","","N2","11",",trainghia3,lesson18,",""
"木の頂","きのいただき","ngọn cây","","N2","12",",trainghia3,lesson18,",""
"ネズミ","ネズミ","chuột","","N2","13",",trainghia3,lesson18,",""
"猫","ねこ","mèo, tiểu hổ","","N2","14",",trainghia3,lesson18,",""
"熱心","ねっしん","tận tình, nhiệt tình, một cách chăm chú","","N2","15",",trainghia3,lesson18,",""
"無関心","むかんしん","thiếu nhiệt tình, không quan tâm","","N2","16",",trainghia3,lesson18,",""
"寝巻き・寝間着","ねまき・ねまき","quần áo ngủ","","N2","17",",trainghia3,lesson18,",""
"スーツ・制服","スーツ・せいふく","aó vét, đồng phục","","N2","18",",trainghia3,lesson18,",""
"乗せる","のせる","chất lên, chồng lên","","N2","19",",trainghia3,lesson18,",""
"下ろす","おろす","dỡ xuống, mang xuống","","N2","20",",trainghia3,lesson18,",""
"覗く","のぞく","nhìn lén, nhìn trộm, nhìn liếc","","N2","1",",trainghia3,lesson19,",""
"ジロジロ見る","ジロジロみる","nhìn chằm chằm","","N2","2",",trainghia3,lesson19,",""
"除く","のぞく","loại bỏ, loại khỏi","","N2","3",",trainghia3,lesson19,",""
"加える・増やす","くわえる・ふやす","làm tăng thêm, bổ sung","","N2","4",",trainghia3,lesson19,",""
"望み・有望","のぞみ・ゆうぼう","mong đợi, nguyện vọng, có triển vọng","","N2","5",",trainghia3,lesson19,",""
"失望","しつぼう","thất vọng","","N2","6",",trainghia3,lesson19,",""
"伸ばす・伸びる","のばす・のびる","kéo dài ra","","N2","7",",trainghia3,lesson19,",""
"縮む","ちぢむ","ngắn lại, co lại","","N2","8",",trainghia3,lesson19,",""
"登る・上る・昇る","のぼる・のぼる・のぼる","trèo, lên","","N2","9",",trainghia3,lesson19,",""
"降りる・下がる","おりる・さがる","xuống, bước xuống","","N2","10",",trainghia3,lesson19,",""
"剥がす","はがす","bóc ra, mở ra","","N2","11",",trainghia3,lesson19,",""
"貼り付ける","はりつける","dán vào, dính vào","","N2","12",",trainghia3,lesson19,",""
"破産","はさん","phá sản, vỡ nợ","","N2","13",",trainghia3,lesson19,",""
"進出","しんしゅつ","tiến lên phía trước, thăng tiến","","N2","14",",trainghia3,lesson19,",""
"始まり・最初","はじまり・さいしょ","bắt đầu","","N2","15",",trainghia3,lesson19,",""
"終わり・最後・おしまい","おわり・さいご・おしまい","kết thúc, cuối cùng","","N2","16",",trainghia3,lesson19,",""
"下着・肌着","したぎ・はだぎ","quần áo lót","","N2","17",",trainghia3,lesson19,",""
"上着","うわぎ","áo khoác ngoài","","N2","18",",trainghia3,lesson19,",""
"発車","はっしゃ","xe khởi hành, sự khởi hành","","N2","19",",trainghia3,lesson19,",""
"停車","ていしゃ","sự dừng xe","","N2","20",",trainghia3,lesson19,",""
"発達","はったつ","phát đạt, phát triển","","N2","1",",trainghia3,lesson20,",""
"遠隔・発展途中","えんかく・はってんとちゅう","đang phát triển","","N2","2",",trainghia3,lesson20,",""
"発明","はつめい","phát minh","","N2","3",",trainghia3,lesson20,",""
"一般","いっぱん","thông thường, bình thường","","N2","4",",trainghia3,lesson20,",""
"派手","はで","lòe loẹt","","N2","5",",trainghia3,lesson20,",""
"地味","じみ","giản dị, mộc mạc","","N2","6",",trainghia3,lesson20,",""
"話し合う・話しかける","はなしあう・はなしかける","thảo luận, bắt chuyện","","N2","7",",trainghia3,lesson20,",""
"喧嘩する","けんかする","cãi nhau","","N2","8",",trainghia3,lesson20,",""
"花嫁","はなよめ","cô dâu","","N2","9",",trainghia3,lesson20,",""
"花婿","はなむこ","chú rể","","N2","10",",trainghia3,lesson20,",""
"跳ねる","はねる","nhảy lên","","N2","11",",trainghia3,lesson20,",""
"堕ちる","おちる","rơi xuống","","N2","12",",trainghia3,lesson20,",""
"母親","ははおや","mẹ","","N2","13",",trainghia3,lesson20,",""
"父親","ちちおや","bố","","N2","14",",trainghia3,lesson20,",""
"早口","はやくち","nói nhanh","","N2","15",",trainghia3,lesson20,",""
"ゆっくり","ゆっくり","chậm rãi","","N2","16",",trainghia3,lesson20,",""
